Feat1,Feat2,Feat3,Target
31.5,24.6,2.2,0.37007874
139.3,14.5,10.2,0.46456693
237.4,27.5,11,0.68110236
216.8,43.9,27.2,0.81496063
199.1,30.6,38.7,0.65748031
109.8,14.3,31.7,0.42519685
26.8,33,19.3,0.28346457
129.4,5.7,31.3,0.37007874
213.4,24.6,13.1,0.60629921
16.9,43.7,89.4,0.27952756
27.5,1.6,20.7,0.20866142
120.5,28.5,14.2,0.49606299
5.4,29.9,9.4,0.14566929
116,7.7,23.1,0.37007874
76.4,26.7,22.3,0.4015748
239.8,4.1,36.9,0.61811024
75.3,20.3,32.5,0.38188976
68.4,44.5,35.6,0.47244094
213.5,43,33.8,0.79133858
193.2,18.4,65.7,0.73228346
76.3,27.5,16,0.40944882
110.7,40.6,63.2,0.56692913
88.3,25.5,73.4,0.44488189
109.8,47.8,51.4,0.59448819
134.3,4.9,9.3,0.48818898
28.6,1.5,33,0.22440945
217.7,33.5,59,0.7007874
250.9,36.5,72.3,0.81102362
107.4,14,10.9,0.38976378
163.3,31.6,52.9,0.6023622
197.6,3.5,5.9,0.59448819
184.9,21,22,0.74409449
289.7,42.3,51.2,0.93700787
135.2,41.7,45.9,0.61417323
222.4,4.3,49.8,0.59448819
296.4,36.3,100.9,0.87401575
280.2,10.1,21.4,0.71653543
187.9,17.2,17.9,0.71259843
238.2,34.3,5.3,0.7519685
137.9,46.4,59,0.52755906
25,11,29.7,0.22047244
90.4,0.3,23.2,0.40944882
13.1,0.4,25.6,0.14566929
255.4,26.9,5.5,0.71653543
225.8,8.2,56.5,0.66141732
241.7,38,23.2,0.79527559
175.7,15.4,2.4,0.61023622
209.6,20.6,10.7,0.75984252
78.2,46.8,34.5,0.51181102
75.1,35,52.7,0.43307087
139.2,14.3,25.6,0.41732283
76.4,0.8,14.8,0.30708661
125.7,36.9,79.2,0.56299213
19.4,16,22.3,0.19685039
141.3,26.8,46.2,0.54724409
18.8,21.7,50.4,0.21259843
224,2.4,15.6,0.59055118
123.1,34.6,12.4,0.53543307
229.5,32.3,74.2,0.71259843
87.2,11.8,25.9,0.35433071
7.8,38.9,50.6,0.19685039
80.2,0,9.2,0.40551181
220.3,49,3.2,0.90944882
59.6,12,43.1,0.31889764
0.7,39.6,8.7,0
265.2,2.9,43,0.63385827
8.4,27.2,2.1,0.16141732
219.8,33.5,45.1,0.70866142
36.9,38.6,65.6,0.36220472
48.3,47,8.5,0.39370079
25.6,39,9.3,0.31102362
273.7,28.9,59.7,0.75590551
43,25.9,20.5,0.31496063
184.9,43.9,1.7,0.7519685
73.4,17,12.9,0.36614173
193.7,35.4,75.6,0.69291339
220.5,33.2,37.9,0.72834646
104.6,5.7,34.4,0.34645669
96.2,14.8,38.9,0.42125984
140.3,1.9,9,0.34251969
240.1,7.3,8.7,0.65354331
243.2,49,44.3,0.93700787
38,40.3,11.9,0.36614173
44.7,25.8,20.6,0.33464567
280.7,13.9,37,0.57086614
121,8.4,48.7,0.39370079
197.6,23.3,14.2,0.59055118
171.3,39.7,37.7,0.56692913
170.2,7.8,35.2,0.59448819
276.7,2.3,23.7,0.5984252
165.6,10,17.6,0.62992126
156.6,2.6,8.3,0.54724409
218.5,5.4,27.4,0.61417323
56.2,5.7,29.7,0.27952756
287.6,43,71.8,0.96850394
253.8,21.3,30,0.62992126
205,45.1,19.6,0.82677165
139.5,2.1,26.6,0.34251969
44.5,39.3,45.1,0.34645669
17.2,45.9,69.3,0.40944882
151.5,41.3,58.5,0.58661417
180.8,10.8,58.4,0.64173228
8.7,48.9,75,0.22047244
57.5,32.8,23.5,0.4015748
120.2,19.6,11.6,0.45669291
8.6,2.1,1,0.12598425
199.8,2.6,21.2,0.5511811
234.5,3.4,84.8,0.6023622
17.9,37.6,21.6,0.2519685
206.8,5.2,19.4,0.61417323
215.4,23.6,57.6,0.61023622
284.3,10.6,6.4,0.72440945
50,11.6,18.4,0.26771654
164.5,20.9,47.4,0.62598425
19.6,20.1,17,0.23622047
168.4,7.1,12.8,0.59448819
222.4,3.4,13.1,0.58661417
276.9,48.9,41.8,1
187.8,21.1,9.5,0.7480315
4.1,11.6,5.7,0.06299213
93.9,43.5,50.5,0.53937008
149.8,1.3,24.3,0.33464567
11.7,36.9,45.2,0.22440945
131.7,18.4,34.6,0.44488189
172.5,18.1,30.7,0.58267717
85.7,35.8,49.3,0.46062992
188.4,18.1,25.6,0.72047244
163.5,36.8,7.4,0.64566929
117.2,14.7,5.4,0.40551181
248.4,30.2,20.3,0.73228346
191.1,28.7,18.2,0.61811024
286,13.9,3.7,0.75984252
18.7,12.1,23.4,0.2007874
39.5,41.1,5.8,0.36220472
75.5,10.8,6,0.40551181
